description,category,amount,date
New furniture,Household,942,28-05-2023
Vet visit,Pets,5861,23-02-2023
Fitness supplement,Fitness,3585,21-03-2023
New furniture,Household,3774,25-02-2023
Gas connection payment,Utilities,1982,23-05-2023
Gym membership,Fitness,7130,15-10-2023
Pet grooming,Pets,9221,14-01-2023
Pet grooming,Pets,4481,15-01-2023
Miscellaneous expense,Medical,5162,23-06-2023
Electricity bill,Utilities,3072,15-03-2023
Fitness supplement,Fitness,6666,05-02-2023
Course fee,Education,1603,29-09-2023
Mall shopping,Shopping,6978,21-08-2023
Miscellaneous expense,Personal Care,6162,09-06-2023
Miscellaneous expense,Personal Care,961,21-03-2023
Miscellaneous expense,Medical,1436,20-05-2023
Lab test fee,Healthcare,8057,07-11-2023
Lab test fee,Healthcare,4575,21-04-2023
Clothes shopping,Shopping,5755,09-08-2023
Water bill (rent included),Rent,9817,07-09-2023
Online store order,Shopping,844,23-04-2023
Electricity bill,Utilities,225,15-04-2023
Health insurance premium,Insurance,2348,11-05-2023
Car insurance renewal,Insurance,2065,04-01-2023
Tour package,Travel,2978,08-03-2023
Water bill,Utilities,8296,14-10-2023
New furniture,Household,1280,23-07-2023
Fruit market purchase,Groceries,407,24-08-2023
Train ticket,Transport,9533,08-08-2023
Yoga class fee,Fitness,6943,29-05-2023
Monthly housing fee,Rent,441,16-06-2023
Miscellaneous expense,Medical,6028,15-02-2023
Lunch with friends,Dining Out,4086,12-08-2023
Yoga class fee,Fitness,8684,10-02-2023
Gas connection payment,Utilities,5662,24-04-2023
Miscellaneous expense,Personal Care,1351,19-09-2023
Birthday gift,Gifts,8793,19-09-2023
Online store order,Shopping,5852,27-11-2023
Book purchase,Education,1784,16-03-2023
Miscellaneous expense,Dining,2942,05-11-2023
Course fee,Education,3002,18-11-2023
Tour package,Travel,9336,24-10-2023
Health checkup,Healthcare,5279,19-03-2023
Doctor visit,Healthcare,7782,15-08-2023
Anniversary present,Gifts,4600,30-10-2023
Monthly grocery stock,Groceries,8412,07-02-2023
Car insurance renewal,Insurance,7504,20-01-2023
Monthly grocery stock,Groceries,4803,09-02-2023
Birthday gift,Gifts,9833,17-09-2023
Internet bill,Utilities,9608,11-10-2023
Fruit market purchase,Groceries,9466,30-11-2023
Online store order,Shopping,7892,14-09-2023
Course fee,Education,7481,22-02-2023
Miscellaneous expense,Personal Care,8366,27-11-2023
Miscellaneous expense,Medical,4159,29-12-2023
Lab test fee,Healthcare,8686,25-09-2023
Pet food,Pets,6062,10-07-2023
Car insurance renewal,Insurance,6797,23-06-2023
Home decor,Household,957,20-11-2023
Anniversary present,Gifts,1179,18-06-2023
Monthly housing fee,Rent,4755,10-05-2023
Home decor,Household,2563,20-06-2023
Cab ride,Transport,5831,08-06-2023
Gift cards,Gifts,6521,08-03-2023
Pet grooming,Pets,1488,08-06-2023
Car insurance renewal,Insurance,5481,07-03-2023
Home decor,Household,8724,17-02-2023
Gift cards,Gifts,7037,18-09-2023
Electricity bill,Utilities,6040,08-06-2023
Miscellaneous expense,Medical,5698,06-09-2023
Footwear purchase,Shopping,2353,21-03-2023
Train ticket,Transport,1757,17-09-2023
Home insurance,Insurance,8726,20-01-2023
New furniture,Household,2247,02-11-2023
Water bill,Utilities,2758,03-04-2023
Pet food,Pets,7270,23-01-2023
Café snacks,Dining Out,3991,16-08-2023
Vet visit,Pets,7455,30-04-2023
Health insurance premium,Insurance,5170,29-08-2023
Online store order,Shopping,9445,14-08-2023
Health checkup,Healthcare,6356,15-09-2023
Mall shopping,Shopping,2755,13-04-2023
Pet food,Pets,4196,27-01-2023
Anniversary present,Gifts,6181,11-10-2023
Apartment rent,Rent,4770,12-02-2023
Miscellaneous expense,Medical,7461,20-09-2023
Library fee,Education,1602,24-04-2023
Health checkup,Healthcare,536,01-08-2023
Fruit market purchase,Groceries,8324,11-07-2023
Tour package,Travel,1437,11-07-2023
Flight booking,Travel,5321,20-02-2023
Anniversary present,Gifts,2492,12-03-2023
Monthly grocery stock,Groceries,7840,23-12-2023
Library fee,Education,7449,12-11-2023
Movie ticket,Entertainment,411,12-05-2023
Footwear purchase,Shopping,9091,08-11-2023
Mall shopping,Shopping,1921,28-05-2023
Travel insurance,Travel,2096,25-01-2023
Tour package,Travel,7589,02-02-2023
Monthly housing fee,Rent,9876,02-10-2023
Concert ticket,Entertainment,2452,30-05-2023
Lunch with friends,Dining Out,5880,04-05-2023
Yoga class fee,Fitness,3168,07-12-2023
Cleaning supplies,Household,8676,04-07-2023
Bus pass recharge,Transport,6497,29-08-2023
Fruit market purchase,Groceries,6216,10-05-2023
Netflix renewal,Entertainment,1206,26-06-2023
Flight booking,Travel,9633,20-06-2023
Course fee,Education,5872,07-10-2023
Miscellaneous expense,Personal Care,7712,23-12-2023
Hotel booking,Travel,2309,02-02-2023
Doctor visit,Healthcare,4907,14-04-2023
Supermarket visit,Groceries,786,11-06-2023
Home insurance,Insurance,6624,06-10-2023
Travel insurance,Travel,699,28-11-2023
Online store order,Shopping,5948,25-01-2023
Anniversary present,Gifts,4576,05-03-2023
Internet bill,Utilities,6653,14-08-2023
Gas connection payment,Utilities,3160,12-09-2023
Travel insurance,Travel,8607,17-05-2023
Fuel refill,Transport,1393,09-08-2023
Pet food,Pets,9037,31-05-2023
Miscellaneous expense,Personal Care,1411,17-06-2023
New furniture,Household,5121,17-08-2023
Pet grooming,Pets,7081,27-03-2023
Health checkup,Healthcare,7425,22-01-2023
Internet bill,Utilities,4598,24-11-2023
Bought vegetables,Groceries,6755,06-07-2023
Footwear purchase,Shopping,610,15-03-2023
Pet grooming,Pets,7279,18-01-2023
Course fee,Education,3966,27-11-2023
Gas connection payment,Utilities,6372,18-10-2023
Supermarket visit,Groceries,7471,09-07-2023
Internet bill,Utilities,1359,21-10-2023
Online class payment,Education,6621,10-06-2023
Anniversary present,Gifts,4189,28-02-2023
Concert ticket,Entertainment,8276,23-09-2023
Electricity bill,Utilities,4388,14-05-2023
Medicine purchase,Healthcare,4778,22-12-2023
Hotel booking,Travel,2109,11-03-2023
Fuel refill,Transport,2928,01-01-2024
Doctor visit,Healthcare,5336,08-12-2023
Electricity bill,Utilities,9111,05-10-2023
Car insurance renewal,Insurance,2680,31-12-2023
Birthday gift,Gifts,6022,18-09-2023
Flight booking,Travel,3392,13-03-2023
Tour package,Travel,530,04-07-2023
Home insurance,Insurance,6144,28-08-2023
Health insurance premium,Insurance,1512,03-02-2023
Car insurance renewal,Insurance,7942,27-09-2023
Ordered food online,Dining Out,9519,07-02-2023
Online class payment,Education,1315,19-08-2023
Health checkup,Healthcare,2202,10-10-2023
Gift cards,Gifts,3081,08-03-2023
Lunch with friends,Dining Out,2134,23-09-2023
Online class payment,Education,2797,24-03-2023
Miscellaneous expense,Personal Care,5769,23-09-2023
Health insurance premium,Insurance,4205,11-04-2023
Gift cards,Gifts,4596,06-03-2023
Anniversary present,Gifts,8840,17-02-2023
Footwear purchase,Shopping,9796,25-10-2023
Book purchase,Education,5631,16-10-2023
Bought vegetables,Groceries,1430,24-01-2023
Gift cards,Gifts,4436,30-11-2023
Mall shopping,Shopping,596,12-09-2023
Gift cards,Gifts,4845,25-11-2023
Car insurance renewal,Insurance,4112,17-12-2023
Gas connection payment,Utilities,7530,07-02-2023
Supermarket visit,Groceries,7302,01-08-2023
Tour package,Travel,3442,24-06-2023
Pet food,Pets,5221,13-06-2023
Internet bill,Utilities,2242,09-07-2023
Clothes shopping,Shopping,5328,04-05-2023
Doctor visit,Healthcare,4482,19-08-2023
Hotel booking,Travel,1686,26-01-2023
Car insurance renewal,Insurance,6950,08-05-2023
Miscellaneous expense,Medical,9564,10-06-2023
Footwear purchase,Shopping,8263,21-09-2023
Lab test fee,Healthcare,5155,12-09-2023
Movie ticket,Entertainment,6542,16-09-2023
Medicine purchase,Healthcare,3624,26-10-2023
Electricity bill,Utilities,928,25-05-2023
Tour package,Travel,4781,02-10-2023
Movie ticket,Entertainment,7160,10-03-2023
Miscellaneous expense,Dining,6706,07-07-2023
Fruit market purchase,Groceries,938,19-10-2023
Health insurance premium,Insurance,6039,11-10-2023
Health insurance premium,Insurance,6429,16-09-2023
Health checkup,Healthcare,2046,07-03-2023
Monthly housing fee,Rent,6214,23-06-2023
Car insurance renewal,Insurance,2463,12-04-2023
Pet grooming,Pets,6676,14-09-2023
Bought vegetables,Groceries,737,12-03-2023
Miscellaneous expense,Personal Care,8608,22-08-2023
Book purchase,Education,5473,10-11-2023
Miscellaneous expense,Personal Care,6538,12-11-2023
Home insurance,Insurance,5611,17-09-2023
Mall shopping,Shopping,9322,03-06-2023
Flight booking,Travel,6135,19-06-2023
Cleaning supplies,Household,6924,26-10-2023
Home insurance,Insurance,536,02-11-2023
Travel insurance,Travel,9577,23-10-2023
Flight booking,Travel,9660,03-09-2023
Miscellaneous expense,Medical,2521,15-12-2023
Flight booking,Travel,9480,25-12-2023
House maintenance fee,Rent,410,14-08-2023
Miscellaneous expense,Personal Care,2581,31-07-2023
Mall shopping,Shopping,8321,10-11-2023
Flight booking,Travel,2362,23-09-2023
Online store order,Shopping,7937,27-09-2023
Gas connection payment,Utilities,2937,24-08-2023
Car insurance renewal,Insurance,9050,01-07-2023
Home decor,Household,4431,09-11-2023
Hotel booking,Travel,4138,23-05-2023
Car insurance renewal,Insurance,3784,02-06-2023
Home insurance,Insurance,3496,20-12-2023
Travel insurance,Travel,7961,28-06-2023
Home insurance,Insurance,4580,28-05-2023
Monthly housing fee,Rent,6564,26-06-2023
Online class payment,Education,789,28-05-2023
Train ticket,Transport,7347,02-12-2023
Miscellaneous expense,Dining,3605,14-04-2023
Car insurance renewal,Insurance,9308,23-12-2023
Miscellaneous expense,Dining,1889,12-11-2023
Gym membership,Fitness,4072,26-01-2023
Home decor,Household,3797,23-11-2023
Flight booking,Travel,1741,31-07-2023
Miscellaneous expense,Personal Care,1747,15-12-2023
Course fee,Education,9116,22-03-2023
Ordered food online,Dining Out,7922,30-11-2023
Online store order,Shopping,5362,27-05-2023
Birthday gift,Gifts,1565,30-11-2023
Gym membership,Fitness,8867,20-01-2023
Miscellaneous expense,Medical,2980,19-01-2023
Internet bill,Utilities,3152,29-05-2023
Bought vegetables,Groceries,4988,18-10-2023
Pet food,Pets,5589,26-05-2023
Lab test fee,Healthcare,2298,16-09-2023
Health checkup,Healthcare,3259,27-02-2023
Miscellaneous expense,Personal Care,7618,28-11-2023
Miscellaneous expense,Dining,330,22-06-2023
Home insurance,Insurance,3264,31-03-2023
Pet grooming,Pets,6743,07-08-2023
Online store order,Shopping,1521,25-07-2023
Cleaning supplies,Household,3127,13-03-2023
Travel insurance,Travel,4164,04-01-2023
Miscellaneous expense,Dining,3958,17-08-2023
Miscellaneous expense,Dining,5047,26-10-2023
Gym membership,Fitness,4385,01-12-2023
Water bill,Utilities,1117,08-12-2023
Monthly housing fee,Rent,5126,23-03-2023
Gas connection payment,Utilities,2023,24-11-2023
Car insurance renewal,Insurance,3718,23-04-2023
Library fee,Education,2609,21-08-2023
Vet visit,Pets,6913,26-12-2023
Car insurance renewal,Insurance,8906,07-12-2023
Footwear purchase,Shopping,9861,11-02-2023
Mall shopping,Shopping,8753,27-12-2023
Electricity bill,Utilities,9343,27-02-2023
Supermarket visit,Groceries,9483,02-10-2023
Book purchase,Education,5475,24-09-2023
Doctor visit,Healthcare,3465,26-10-2023
Flight booking,Travel,8461,17-08-2023
Fruit market purchase,Groceries,2261,20-09-2023
Ordered food online,Dining Out,9339,30-01-2023
Car insurance renewal,Insurance,5149,12-01-2023
Gas connection payment,Utilities,149,22-04-2023
Gym membership,Fitness,842,05-08-2023
Electricity bill,Utilities,8966,31-01-2023
Fuel refill,Transport,619,27-05-2023
Dinner at restaurant,Dining Out,2318,25-11-2023
Anniversary present,Gifts,6235,15-07-2023
Lab test fee,Healthcare,6254,11-02-2023
Home decor,Household,8935,10-03-2023
Anniversary present,Gifts,2043,02-04-2023
Car insurance renewal,Insurance,8764,07-03-2023
Flight booking,Travel,472,02-06-2023
Lab test fee,Healthcare,8815,14-07-2023
Hotel booking,Travel,7646,27-06-2023
Online class payment,Education,3188,27-02-2023
Fruit market purchase,Groceries,356,04-05-2023
Clothes shopping,Shopping,1753,01-11-2023
Fruit market purchase,Groceries,9894,11-12-2023
Supermarket visit,Groceries,824,25-07-2023
Medicine purchase,Healthcare,8943,22-04-2023
Supermarket visit,Groceries,8355,29-05-2023
Travel insurance,Travel,9561,03-11-2023
New furniture,Household,3981,04-06-2023
Book purchase,Education,6875,03-06-2023
Miscellaneous expense,Dining,9221,30-10-2023
Miscellaneous expense,Medical,9207,11-09-2023
Monthly grocery stock,Groceries,6344,26-09-2023
Miscellaneous expense,Personal Care,6788,18-03-2023
Car insurance renewal,Insurance,3112,03-10-2023
Hotel booking,Travel,3792,03-06-2023
Library fee,Education,1044,15-10-2023
Ordered food online,Dining Out,9230,29-09-2023
Library fee,Education,4078,11-05-2023
Online store order,Shopping,1395,19-08-2023
Electricity bill,Utilities,8875,08-04-2023
Monthly grocery stock,Groceries,6279,11-12-2023
Pet grooming,Pets,747,07-02-2023
Footwear purchase,Shopping,7954,17-04-2023
Miscellaneous expense,Personal Care,351,19-04-2023
Clothes shopping,Shopping,7946,05-05-2023
Pet grooming,Pets,3450,23-07-2023
Travel insurance,Travel,4737,14-07-2023
Health checkup,Healthcare,5153,14-05-2023
Internet bill,Utilities,7735,20-02-2023
Travel insurance,Travel,3428,09-07-2023
Miscellaneous expense,Personal Care,849,16-10-2023
Hotel booking,Travel,365,14-05-2023
Home insurance,Insurance,9588,02-08-2023
Health insurance premium,Insurance,3314,18-06-2023
Tour package,Travel,9435,06-05-2023
Travel insurance,Travel,4316,08-09-2023
Gift cards,Gifts,8137,24-08-2023
Miscellaneous expense,Medical,2873,13-03-2023
Car insurance renewal,Insurance,3115,05-10-2023
Birthday gift,Gifts,8684,18-01-2023
Bus pass recharge,Transport,204,31-07-2023
Book purchase,Education,1213,29-12-2023
Course fee,Education,3683,16-09-2023
Health checkup,Healthcare,1090,13-11-2023
Gift cards,Gifts,8016,04-12-2023
Flight booking,Travel,208,30-09-2023
Car insurance renewal,Insurance,294,09-01-2023
Online store order,Shopping,8877,27-05-2023
Gaming subscription,Entertainment,3037,24-02-2023
House maintenance fee,Rent,4048,09-04-2023
Pet grooming,Pets,4235,01-07-2023
Miscellaneous expense,Dining,1394,11-07-2023
Internet bill,Utilities,9356,05-05-2023
Travel insurance,Travel,1420,01-12-2023
Birthday gift,Gifts,1631,27-07-2023
Internet bill,Utilities,9155,01-09-2023
Bought vegetables,Groceries,2907,12-02-2023
Tour package,Travel,5527,17-10-2023
Apartment rent,Rent,3864,19-04-2023
Yoga class fee,Fitness,4541,24-01-2023
Train ticket,Transport,8997,16-10-2023
Cleaning supplies,Household,3038,11-06-2023
Concert ticket,Entertainment,9717,15-03-2023
Electricity bill,Utilities,5003,25-03-2023
Gym membership,Fitness,9384,19-07-2023
Home decor,Household,5535,16-07-2023
Course fee,Education,8304,27-06-2023
Bought vegetables,Groceries,7261,29-04-2023
Train ticket,Transport,9858,23-07-2023
Miscellaneous expense,Personal Care,4578,19-08-2023
Hotel booking,Travel,5929,11-10-2023
Internet bill,Utilities,3143,15-12-2023
Fitness supplement,Fitness,6327,13-02-2023
Vet visit,Pets,4137,01-01-2024
Bus pass recharge,Transport,4490,20-03-2023
Water bill,Utilities,6483,12-06-2023
Electricity bill,Utilities,1599,03-01-2023
Car insurance renewal,Insurance,5996,19-05-2023
House maintenance fee,Rent,1530,06-04-2023
Ordered food online,Dining Out,9225,12-10-2023
Mall shopping,Shopping,1792,14-01-2023
Train ticket,Transport,9180,17-02-2023
Pet grooming,Pets,5415,17-07-2023
Netflix renewal,Entertainment,6879,18-07-2023
Cab ride,Transport,9470,24-09-2023
Miscellaneous expense,Medical,2877,13-03-2023
Miscellaneous expense,Dining,4497,10-09-2023
Course fee,Education,2839,11-08-2023
Miscellaneous expense,Dining,5011,05-09-2023
Train ticket,Transport,4223,07-05-2023
Anniversary present,Gifts,9828,12-11-2023
Mall shopping,Shopping,1852,11-03-2023
Health insurance premium,Insurance,6583,20-06-2023
Vet visit,Pets,5499,14-08-2023
Miscellaneous expense,Personal Care,9838,11-03-2023
Car insurance renewal,Insurance,9983,22-12-2023
Mall shopping,Shopping,5247,01-04-2023
Gas connection payment,Utilities,4875,22-12-2023
Anniversary present,Gifts,9535,05-05-2023
Miscellaneous expense,Personal Care,4692,21-07-2023
Electricity bill,Utilities,9338,13-04-2023
Fitness supplement,Fitness,3047,16-12-2023
Health insurance premium,Insurance,7663,29-12-2023
Mall shopping,Shopping,4873,21-12-2023
Fuel refill,Transport,8280,13-03-2023
Anniversary present,Gifts,4065,10-05-2023
Cleaning supplies,Household,7032,13-07-2023
Fuel refill,Transport,9896,03-09-2023
Yoga class fee,Fitness,8855,17-09-2023
Lunch with friends,Dining Out,5990,26-12-2023
Home insurance,Insurance,1492,25-02-2023
Travel insurance,Travel,2825,28-11-2023
Pet food,Pets,9327,27-11-2023
Home decor,Household,6647,19-06-2023
Lunch with friends,Dining Out,272,20-02-2023
Miscellaneous expense,Dining,8466,23-09-2023
Home insurance,Insurance,9524,24-04-2023
Health checkup,Healthcare,6508,26-08-2023
Home decor,Household,8299,19-03-2023
Electricity bill,Utilities,8009,23-02-2023
Car insurance renewal,Insurance,1506,01-03-2023
Online class payment,Education,5210,25-06-2023
Medicine purchase,Healthcare,8637,05-09-2023
Internet bill,Utilities,1699,13-08-2023
Health checkup,Healthcare,1200,03-06-2023
Bought vegetables,Groceries,470,25-06-2023
Birthday gift,Gifts,2792,05-05-2023
Footwear purchase,Shopping,9142,23-03-2023
Miscellaneous expense,Personal Care,7670,29-04-2023
Water bill,Utilities,3153,24-11-2023
New furniture,Household,6581,15-01-2023
Pet food,Pets,7465,31-10-2023
Ordered food online,Dining Out,172,27-12-2023
Footwear purchase,Shopping,4660,27-12-2023
Bus pass recharge,Transport,8896,06-04-2023
Gas connection payment,Utilities,3328,23-08-2023
Water bill (rent included),Rent,8119,28-09-2023
Anniversary present,Gifts,9880,18-07-2023
Vet visit,Pets,9717,28-02-2023
Gas connection payment,Utilities,7601,13-11-2023
Miscellaneous expense,Medical,9769,13-02-2023
Cleaning supplies,Household,5231,02-03-2023
Travel insurance,Travel,2016,04-04-2023
Water bill,Utilities,8469,18-07-2023
Dinner at restaurant,Dining Out,9517,16-07-2023
Dinner at restaurant,Dining Out,8073,22-11-2023
Home insurance,Insurance,2938,12-10-2023
Miscellaneous expense,Medical,4832,13-03-2023
Miscellaneous expense,Medical,7489,14-11-2023
Monthly grocery stock,Groceries,257,06-09-2023
Book purchase,Education,6390,15-10-2023
Mall shopping,Shopping,6803,17-12-2023
Tour package,Travel,7372,08-09-2023
Miscellaneous expense,Medical,9363,16-01-2023
Travel insurance,Travel,635,21-05-2023
Travel insurance,Travel,2855,23-08-2023
Fitness supplement,Fitness,8215,09-10-2023
Clothes shopping,Shopping,9483,28-02-2023
Miscellaneous expense,Dining,8980,22-01-2023
Medicine purchase,Healthcare,7065,22-02-2023
Birthday gift,Gifts,4977,17-01-2023
Health checkup,Healthcare,5811,14-02-2023
Doctor visit,Healthcare,3982,18-04-2023
Fitness supplement,Fitness,5844,30-12-2023
Pet grooming,Pets,7115,26-03-2023
Pet food,Pets,3485,16-04-2023
Monthly grocery stock,Groceries,8820,24-05-2023
Pet grooming,Pets,2858,15-06-2023
Car insurance renewal,Insurance,9483,17-05-2023
Clothes shopping,Shopping,2321,30-07-2023
Monthly grocery stock,Groceries,2178,26-12-2023
Book purchase,Education,2496,31-12-2023
Miscellaneous expense,Personal Care,6534,08-09-2023
Online class payment,Education,6886,12-07-2023
Doctor visit,Healthcare,1625,26-07-2023
Online store order,Shopping,6146,21-08-2023
Travel insurance,Travel,9634,02-01-2023
Fuel refill,Transport,5969,02-02-2023
Car insurance renewal,Insurance,3668,08-08-2023
Mall shopping,Shopping,4499,15-06-2023
Car insurance renewal,Insurance,9067,23-10-2023
Library fee,Education,5731,16-12-2023
Bought vegetables,Groceries,1731,17-11-2023
Doctor visit,Healthcare,2135,22-03-2023
Lab test fee,Healthcare,111,08-08-2023
Footwear purchase,Shopping,5045,23-03-2023
Miscellaneous expense,Dining,6005,09-05-2023
Train ticket,Transport,2811,27-01-2023
Gas connection payment,Utilities,3936,08-08-2023
Birthday gift,Gifts,1659,01-01-2023
Mall shopping,Shopping,1376,09-03-2023
Gym membership,Fitness,8610,15-12-2023
Doctor visit,Healthcare,232,23-12-2023
Miscellaneous expense,Personal Care,7019,22-12-2023
Library fee,Education,1260,28-04-2023
Electricity bill,Utilities,1778,22-02-2023
Miscellaneous expense,Personal Care,5002,12-03-2023
Water bill,Utilities,2440,05-02-2023
Clothes shopping,Shopping,2788,14-08-2023
Water bill,Utilities,2580,30-07-2023
Pet grooming,Pets,7348,22-04-2023
Bus pass recharge,Transport,2393,05-03-2023
Fitness supplement,Fitness,6391,29-06-2023
Café snacks,Dining Out,2390,07-05-2023
Miscellaneous expense,Dining,4165,11-10-2023
Pet grooming,Pets,4768,20-12-2023
Netflix renewal,Entertainment,3466,23-09-2023
Pet grooming,Pets,3190,20-07-2023
Home insurance,Insurance,994,03-05-2023
Tour package,Travel,1947,04-05-2023
Flight booking,Travel,8755,07-01-2023
Gas connection payment,Utilities,2262,18-07-2023
Yoga class fee,Fitness,6086,07-10-2023
Cleaning supplies,Household,7817,07-02-2023
Movie ticket,Entertainment,325,15-05-2023
Clothes shopping,Shopping,1090,23-07-2023
Online store order,Shopping,8309,01-08-2023
Ordered food online,Dining Out,1450,24-11-2023
Home insurance,Insurance,2601,23-05-2023
Train ticket,Transport,1394,19-09-2023
Footwear purchase,Shopping,8888,17-06-2023
Electricity bill,Utilities,5181,24-12-2023
Dinner at restaurant,Dining Out,1048,06-05-2023
Fuel refill,Transport,2000,21-08-2023
Pet grooming,Pets,1001,08-06-2023
Home decor,Household,2977,03-03-2023
Concert ticket,Entertainment,285,25-03-2023
Travel insurance,Travel,8668,22-09-2023
Miscellaneous expense,Dining,6192,06-03-2023
Miscellaneous expense,Dining,580,21-06-2023
Café snacks,Dining Out,8682,02-02-2023
Miscellaneous expense,Dining,8228,22-08-2023
Online store order,Shopping,1008,13-09-2023
Gym membership,Fitness,6124,22-03-2023
Miscellaneous expense,Dining,9502,12-12-2023
House maintenance fee,Rent,8436,02-01-2023
Bought vegetables,Groceries,4106,24-01-2023
Travel insurance,Travel,6374,18-03-2023
Miscellaneous expense,Medical,9158,01-01-2024
Anniversary present,Gifts,3778,14-06-2023
Tour package,Travel,5341,19-05-2023
Train ticket,Transport,2056,15-09-2023
Cleaning supplies,Household,3038,25-04-2023
Clothes shopping,Shopping,6668,05-02-2023
Health checkup,Healthcare,5190,17-06-2023
Fuel refill,Transport,230,08-07-2023
Online store order,Shopping,9337,05-06-2023
Pet food,Pets,7700,08-07-2023
Yoga class fee,Fitness,3301,07-10-2023
Hotel booking,Travel,204,29-07-2023
Concert ticket,Entertainment,8972,27-06-2023
Gift cards,Gifts,257,21-06-2023
Gaming subscription,Entertainment,5138,23-02-2023
Footwear purchase,Shopping,6978,09-09-2023
Supermarket visit,Groceries,4684,17-02-2023
Supermarket visit,Groceries,8615,31-07-2023
Internet bill,Utilities,1491,25-10-2023
House maintenance fee,Rent,6561,08-02-2023
Fitness supplement,Fitness,1120,11-08-2023
Cleaning supplies,Household,3979,30-05-2023
Miscellaneous expense,Dining,6538,25-12-2023
Miscellaneous expense,Personal Care,7517,20-05-2023
Flight booking,Travel,3421,11-03-2023
Gym membership,Fitness,2646,24-02-2023
Miscellaneous expense,Medical,7735,10-06-2023
Lunch with friends,Dining Out,8880,03-07-2023
Mall shopping,Shopping,5151,26-08-2023
Miscellaneous expense,Dining,1581,22-03-2023
New furniture,Household,9984,21-01-2023
Online store order,Shopping,2530,16-02-2023
Travel insurance,Travel,6592,20-09-2023
Monthly grocery stock,Groceries,4362,31-03-2023
Gaming subscription,Entertainment,7508,12-10-2023
Health insurance premium,Insurance,1651,25-08-2023
House maintenance fee,Rent,2089,07-01-2023
Supermarket visit,Groceries,2241,12-04-2023
Gas connection payment,Utilities,1476,26-10-2023
Yoga class fee,Fitness,1328,12-01-2023
Cab ride,Transport,7365,07-03-2023
Train ticket,Transport,2107,22-01-2023
Doctor visit,Healthcare,2852,21-10-2023
Ordered food online,Dining Out,8228,16-01-2023
Internet bill,Utilities,2931,01-07-2023
Footwear purchase,Shopping,4605,24-05-2023
Medicine purchase,Healthcare,667,11-11-2023
Pet grooming,Pets,4126,28-11-2023
Car insurance renewal,Insurance,6850,09-10-2023
Flight booking,Travel,1537,24-05-2023
Water bill,Utilities,6968,13-04-2023
Gift cards,Gifts,4182,19-11-2023
Health insurance premium,Insurance,6366,01-01-2024
Internet bill,Utilities,9021,06-09-2023
Gas connection payment,Utilities,6463,19-05-2023
Miscellaneous expense,Medical,5324,02-11-2023
Flight booking,Travel,4702,30-01-2023
Travel insurance,Travel,9668,30-04-2023
Miscellaneous expense,Medical,4160,03-12-2023
Travel insurance,Travel,8843,29-01-2023
Tour package,Travel,5913,30-03-2023
Miscellaneous expense,Medical,9807,12-06-2023
Electricity bill,Utilities,5861,18-10-2023
Gym membership,Fitness,9325,07-04-2023
Travel insurance,Travel,2976,09-09-2023
Bought vegetables,Groceries,1020,30-04-2023
Pet food,Pets,426,27-09-2023
Flight booking,Travel,5535,11-11-2023
Footwear purchase,Shopping,5682,01-04-2023
Miscellaneous expense,Personal Care,459,17-03-2023
Fitness supplement,Fitness,2420,26-02-2023
Online store order,Shopping,1288,11-07-2023
New furniture,Household,9701,21-02-2023
Miscellaneous expense,Personal Care,5385,11-03-2023
Miscellaneous expense,Medical,8082,29-11-2023
Miscellaneous expense,Personal Care,9307,22-12-2023
Vet visit,Pets,3757,07-12-2023
Gym membership,Fitness,6299,07-06-2023
Health insurance premium,Insurance,3011,01-01-2023
Yoga class fee,Fitness,9397,17-01-2023
Miscellaneous expense,Medical,3719,24-11-2023
Gym membership,Fitness,8229,14-03-2023
Miscellaneous expense,Personal Care,3999,27-06-2023
Miscellaneous expense,Personal Care,1553,29-12-2023
Home decor,Household,5600,17-08-2023
Netflix renewal,Entertainment,3535,08-05-2023
Train ticket,Transport,4305,25-02-2023
Movie ticket,Entertainment,6423,13-08-2023
Dinner at restaurant,Dining Out,6883,10-09-2023
Gas connection payment,Utilities,9046,12-07-2023
Monthly housing fee,Rent,9570,30-11-2023
Cleaning supplies,Household,2764,20-08-2023
Bus pass recharge,Transport,4931,11-01-2023
Miscellaneous expense,Personal Care,1815,07-02-2023
Miscellaneous expense,Personal Care,6251,24-03-2023
Bus pass recharge,Transport,5636,01-11-2023
Vet visit,Pets,607,09-08-2023
Birthday gift,Gifts,7213,22-03-2023
Bought vegetables,Groceries,5524,16-04-2023
Mall shopping,Shopping,9178,04-10-2023
Miscellaneous expense,Dining,4972,02-05-2023
Apartment rent,Rent,6537,20-10-2023
Car insurance renewal,Insurance,2616,28-01-2023
Electricity bill,Utilities,7105,14-02-2023
Home insurance,Insurance,9933,03-09-2023
Clothes shopping,Shopping,521,16-04-2023
Miscellaneous expense,Medical,1442,31-08-2023
Water bill (rent included),Rent,6612,30-08-2023
Travel insurance,Travel,1593,25-11-2023
Car insurance renewal,Insurance,3129,09-07-2023
Gas connection payment,Utilities,3156,17-08-2023
Monthly grocery stock,Groceries,7304,27-08-2023
Miscellaneous expense,Dining,4500,16-10-2023
Supermarket visit,Groceries,1684,13-02-2023
New furniture,Household,8971,31-07-2023
Gym membership,Fitness,9170,01-02-2023
Internet bill,Utilities,8873,18-12-2023
Hotel booking,Travel,7903,03-06-2023
Fuel refill,Transport,668,15-09-2023
